Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-02-26T16:07:53.485;86;54,0
2026-02-26T16:07:55.107;85;55,1
2026-02-26T16:07:55.512;84;55,0
2026-02-26T16:07:57.132;84;55,2
2026-02-26T16:07:57.537;85;55,5
2026-02-26T16:07:58.348;86;54,8
2026-02-26T16:07:59.562;86;54,8
2026-02-26T16:08:00.373;84;36,9
2026-02-26T16:08:01.591;84;36,9
2026-02-26T16:08:02.399;84;37,6
2026-02-26T16:08:03.612;85;37,6
2026-02-26T16:08:04.443;86;35,7
2026-02-26T16:08:05.637;90;34,0

